nconst,primaryName
nm0001728,Wallace Shawn
nm0001729,Craig Sheffer
nm0001731,Sam Shepard
nm0001734,Armin Shimerman
nm0001736,Pauly Shore
nm0001737,Martin Short
nm0001738,Jonathan Silverman
nm0001740,O.J. Simpson
nm0001743,Marc Singer
nm0001744,Tom Sizemore
nm0001745,Stellan Skarsgård
nm0001747,Charles Martin Smith
nm0001748,Kurtwood Smith
nm0001751,Jimmy Smits
nm0001757,Kevin Sorbo
nm0001758,Timothy Spall
nm0001759,Vincent Spano
nm0001763,Nick Stahl
nm0001764,John Stamos
nm0001765,Harry Dean Stanton
nm0001768,Rod Steiger
nm0001770,Fisher Stevens
nm0001772,Patrick Stewart
nm0001773,David Ogden Stiers
nm0001774,Ben Stiller
nm0001776,Sting
nm0001777,Dean Stockwell
nm0001778,Matt Stone
nm0001780,Peter Stormare
nm0001786,George Takei
nm0001787,Jeffrey Tambor
nm0001791,Robert Taylor
nm0001792,Rod Taylor
nm0001794,Henry Thomas
nm0001795,Jonathan Taylor Thomas
nm0001796,Richard Thomas
nm0001798,Kevin Tighe
nm0001800,Rip Torn
nm0001803,Danny Trejo
nm0001804,Stanley Tucci
nm0001806,John Turturro
nm0001809,Jay Underwood
nm0001810,Robert Urich
nm0001811,Peter Ustinov
nm0001812,Lee Van Cleef
nm0001813,Dick Van Dyke
nm0001814,Gus Van Sant
nm0001815,Jim Varney
nm0001816,Robert Vaughn
nm0001817,Reginald VelJohnson
nm0001818,Jesse Ventura
nm0001820,Abe Vigoda
nm0001821,Jan-Michael Vincent
nm0001822,Robert Wagner
nm0001823,Tom Waits
nm0001825,Andrew Kevin Walker
nm0001826,M. Emmet Walsh
nm0001827,Ray Walston
nm0001831,David Warner
nm0001832,Sam Waterston
nm0001834,Damon Wayans
nm0001835,Carl Weathers
nm0001836,Steven Weber
nm0001841,George Wendt
nm0001842,Adam West
nm0001844,Frank Whaley
nm0001845,Forest Whitaker
nm0001847,Richard Widmark
nm0001850,Billy Dee Williams
nm0001852,Treat Williams
nm0001855,Tom Wilson
nm0001857,Henry Winkler
nm0001864,Noah Wyle
nm0001866,Bolo Yeung
nm0001868,Michael York
nm0001872,Steve Zahn
nm0001875,Anthony Zerbe
nm0001878,David Zucker
nm0001884,Max von Sydow
nm0001886,Howard Ross
nm0001888,Robert Douglas
nm0001891,Anthony Higgins
nm0001893,John Archer
nm0001894,Danny Dayton
nm0001902,Edward Albert
nm0001904,Corey Allen
nm0001909,Björn Andrésen
nm0001912,Paul Anka
nm0001917,Pedro Armendáriz Jr.
nm0001918,Louis Armstrong
nm0001922,Jean-Pierre Aumont
nm0001924,Hoyt Axton
nm0001932,Richard Barthelmess
nm0001933,Geoffrey Bayldon
nm0001934,Kabir Bedi
nm0001938,Richard Belzer
nm0001942,Luca Bercovici
nm0001948,Charles Bickford
nm0001950,Steve Bisley
nm0001952,Rubén Blades
nm0001953,Moritz Bleibtreu
nm0001957,Lloyd Bochner
nm0001958,Dirk Bogarde
nm0001961,Ray Bolger
nm0001963,Jesse Borrego
nm0001967,Peter Boyle
nm0001970,Klaus Maria Brandauer
nm0001971,Ewen Bremner
nm0001972,Richard Briers
nm0001975,Roscoe Lee Browne
nm0001976,Horst Buchholz
