tconst,nconst,characterName
tt0026752,nm0001452,Captain Bligh
tt0026752,nm0000022,Fletcher Christian
tt0026752,nm0867144,Roger Byam
tt0026752,nm0612743,Smith
tt0026752,nm0703600,Ellison
tt0026752,nm0226502,Bacchus
tt0026752,nm0187981,Burkitt
tt0026752,nm0827261,Sir Joseph Banks
tt0026752,nm0514250,Captain Nelson
tt0026752,nm0001981,Mrs. Byam
tt0026778,nm0000050,Otis B. Driftwood
tt0026778,nm0555597,Fiorello
tt0026778,nm0555617,Tomasso
tt0026778,nm0137634,Rosa Castaldi
tt0026778,nm0427452,Riccardo Barone
tt0026778,nm0455373,Rudolfo Lassparri
tt0026778,nm0750079,Herman Gottlieb
tt0026778,nm0241669,Mrs. Claypool
tt0026778,nm0443849,Ship's Captain
tt0026778,nm0640495,Police Sergeant Henderson
tt0027125,nm0000001,Jerry Travers
tt0027125,nm0001677,Dale Tremont
tt0027125,nm0002143,Horace Hardwick
tt0027125,nm0722424,Alberto Beddini
tt0027125,nm0089314,Bates
tt0027125,nm0110813,Madge Hardwick
tt0027125,nm0010468,London Hotel Clerk
tt0027125,nm0000840,Flower Clerk
tt0027125,nm4942919,Minor Role
tt0027125,nm4185833,Club Member
tt0027652,nm0796662,Katherine Grant
tt0027652,nm0000075,Joe Wilson
tt0027652,nm0008496,District Attorney
tt0027652,nm0127677,Kirby Dawson
tt0027652,nm0254818,Sheriff
tt0027652,nm0000974,'Bugs' Meyers
tt0027652,nm0007214,Charlie
tt0027652,nm0906965,Tom
tt0027652,nm0831736,Durkin
tt0027652,nm0908797,Fred Garrett
tt0027977,nm0000122,A Factory Worker
tt0027977,nm0002104,A Gamin
tt0027977,nm0074788,Cafe Proprietor
tt0027977,nm0761866,Big Bill
tt0027977,nm0174682,Mechanic
tt0027977,nm0003424,Burglar
tt0027977,nm0090008,Gamin's Father
tt0027977,nm0305087,President of the Electro Steel Corp.
tt0027977,nm0018685,Prison Cellmate
tt0027977,nm0721637,Minister
tt0027996,nm0000011,Longfellow Deeds Semple
tt0027996,nm0000795,"Louise 'Babe' Bennett, a) Mary Dawson"
tt0027996,nm0051628,MacWade
tt0027996,nm0822034,Cornelius Cobb 'Corny'
tt0027996,nm0241523,John Cedar
tt0027996,nm0906940,Walter
tt0027996,nm0912478,Judge May
tt0027996,nm0232766,Mabel Dawson
tt0027996,nm0146185,Morrow
tt0027996,nm0942046,Farmer
tt0028010,nm0001635,Godfrey
tt0028010,nm0001479,Irene Bullock
tt0028010,nm0103567,Angelica Bullock
tt0028010,nm0665850,Cornelia Bullock
tt0028010,nm0657874,Alexander Bullock
tt0028010,nm0228863,Molly
tt0028010,nm0610253,Tommy Gray
tt0028010,nm0041681,Carlo
tt0028010,nm0280900,Mike Flaherty
tt0028010,nm0509941,Faithful George
tt0028096,nm0001366,Alan Squier
tt0028096,nm0000007,Duke Mantee
tt0028096,nm0000012,Gabrielle Maple
tt0028096,nm0864931,Mrs. Chisholm
tt0028096,nm0285264,Boze Hertzlinger
tt0028096,nm0768178,Jackie
tt0028096,nm0356004,Jason Maple
tt0028096,nm0335788,Gramp Maple
tt0028096,nm0367670,Mr. Chisholm
tt0028096,nm0010333,Lineman
tt0028212,nm0796662,Mrs. Verloc
tt0028212,nm0393028,Karl Verloc--Her Husband
tt0028212,nm0856469,Stevie
tt0028212,nm0517058,Detective Sgt. Ted Spencer
tt0028212,nm0053829,Renee
tt0028212,nm0099608,Superintendent Talbot
tt0028212,nm0912343,Hollingshead
tt0028212,nm0223168,The Professor
tt0028212,nm0079670,Miss Chatham's Daughter
tt0028212,nm0119988,Michaelis - Conspirator
tt0028333,nm0000001,Lucky Garnett
tt0028333,nm0001677,Penny Carroll
tt0028333,nm0602005,Pop Cardetti
tt0028333,nm0110813,Mabel Anderson
tt0028333,nm0089314,Gordon
tt0028333,nm0299026,Margaret Watson
tt0028333,nm0582386,Ricky Romero
tt0028333,nm0047534,Roulette Player
tt0028333,nm0076236,Second Stagehand
