tconst,nconst
tt0070239,nm0422484
tt0070290,nm0000797
tt0070294,nm0396421
tt0070328,nm0357891
tt0070334,nm0000265
tt0070355,nm0692872
tt0070379,nm0000217
tt0070460,nm0000076
tt0070510,nm0000953
tt0070511,nm0769874
tt0070518,nm0001603
tt0070544,nm0482537
tt0070608,nm0718627
tt0070608,nm0359457
tt0070643,nm0770234
tt0070666,nm0001486
tt0070698,nm0000361
tt0070707,nm0000095
tt0070723,nm0281507
tt0070735,nm0001351
tt0070842,nm0000682
tt0070849,nm0000934
tt0070903,nm0001628
tt0070909,nm0000341
tt0070917,nm0362736
tt0070948,nm0000958
tt0071115,nm0000217
tt0071129,nm0000019
tt0071141,nm0001202
tt0071222,nm0163706
tt0071230,nm0000316
tt0071249,nm0001603
tt0071315,nm0000591
tt0071360,nm0000338
tt0071402,nm0935382
tt0071411,nm0000041
tt0071455,nm0733476
tt0071487,nm0000320
tt0071524,nm0000697
tt0071562,nm0000338
tt0071577,nm0002338
tt0071615,nm0423524
tt0071691,nm0001348
tt0071746,nm0002080
tt0071771,nm0000736
tt0071807,nm0357891
tt0071853,nm0000416
tt0071853,nm0001402
tt0071877,nm0001486
tt0071910,nm0146960
tt0071935,nm0623768
tt0071970,nm0001587
tt0071994,nm0000361
tt0072081,nm0001175
tt0072226,nm0000229
tt0072251,nm0765121
tt0072271,nm0001361
tt0072281,nm0504513
tt0072288,nm0001047
tt0072308,nm0347086
tt0072417,nm0001023
tt0072431,nm0000316
tt0072443,nm0001789
tt0072684,nm0000040
tt0072730,nm0428618
tt0072856,nm0000860
tt0072890,nm0001486
tt0072901,nm0331453
tt0072901,nm0879853
tt0072926,nm0000142
tt0072962,nm0000080
tt0072962,nm0004372
tt0072962,nm0462648
tt0072962,nm0717025
tt0073000,nm0135653
tt0073012,nm0504513
tt0073018,nm0001239
tt0073076,nm0317487
tt0073076,nm0563099
tt0073076,nm0563100
tt0073076,nm0583287
tt0073195,nm0000229
tt0073312,nm0000095
tt0073341,nm0001379
tt0073440,nm0000265
tt0073453,nm0671957
tt0073486,nm0001232
tt0073540,nm0001837
tt0073580,nm0000774
tt0073582,nm0000783
tt0073629,nm0788940
tt0073631,nm0422484
tt0073636,nm0587706
tt0073650,nm0001596
tt0073692,nm0000797
tt0073705,nm0000343
tt0073747,nm0285302
tt0073802,nm0001628
tt0073812,nm0001692
tt0074084,nm0000934
tt0074102,nm0651915
tt0074119,nm0001587
tt0074156,nm0000118
tt0074174,nm0006916
tt0074256,nm0000570
tt0074285,nm0000361
tt0074442,nm0005645
tt0074452,nm0836328
tt0074483,nm0267309
tt0074486,nm0000186
tt0074512,nm0000033
tt0074695,nm0001603
tt0074749,nm0001023
tt0074751,nm0347086
tt0074806,nm0004654
tt0074811,nm0000591
tt0074812,nm0027183
tt0074851,nm0001676
tt0074860,nm0772259
tt0074896,nm0002160
tt0074899,nm0806915
tt0074937,nm0601800
tt0074958,nm0001486
tt0075005,nm0001149
tt0075029,nm0000142
tt0075066,nm0001175
tt0075147,nm0504513
tt0075148,nm0000814
tt0075213,nm0796923
tt0075222,nm0000316
tt0075223,nm0002137
tt0075276,nm0001348
tt0075314,nm0000217
tt0075612,nm0000265
tt0075675,nm0000694
tt0075686,nm0000095
tt0075784,nm0000277
tt0075824,nm0000320
tt0075860,nm0000229
tt0075925,nm0946811
